"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SI_02_GRANT_US_ORG_EIN","SI_02_GRANT_US_ORG_IRC_SECTION","SI_02_GRANT_US_ORG_AMT_CASH","SI_02_GRANT_US_ORG_PURPOSE","SI_02_GRANT_US_ORG_AMT_NONCSH","SI_02_GRANT_US_ORG_MOV","SI_02_GRANT_US_ORG_DESC_NONCSH"
"201642159349301469","846041156","COLORADO SPORTS HALL OF FAME INC","2015","990","https://s3.amazonaws.com/irs-form-990/201642159349301469_public.xml","840427063","501c3","57500","PROGRAMS",NA,NA,NA
"201642159349301469","846041156","COLORADO SPORTS HALL OF FAME INC","2015","990","https://s3.amazonaws.com/irs-form-990/201642159349301469_public.xml","742370518","501c3","10000","PROGRAMS",NA,NA,NA
"201642159349301469","846041156","COLORADO SPORTS HALL OF FAME INC","2015","990","https://s3.amazonaws.com/irs-form-990/201642159349301469_public.xml","300758638","501c3","10000","PROGRAMS",NA,NA,NA
"201642159349301469","846041156","COLORADO SPORTS HALL OF FAME INC","2015","990","https://s3.amazonaws.com/irs-form-990/201642159349301469_public.xml","840738419","501c3","10000","PROGRAMS",NA,NA,NA
"201642159349301469","846041156","COLORADO SPORTS HALL OF FAME INC","2015","990","https://s3.amazonaws.com/irs-form-990/201642159349301469_public.xml","840713739","501c3","10000","PROGRAMS",NA,NA,NA
"201642159349301469","846041156","COLORADO SPORTS HALL OF FAME INC","2015","990","https://s3.amazonaws.com/irs-form-990/201642159349301469_public.xml","742422126","501c3","10000","PROGRAMS",NA,NA,NA
"202023469349300722","630911513","ANNISTON MUSEUM ENDOWMENT CORPORATION","2019","990","https://s3.amazonaws.com/irs-form-990/202023469349300722_public.xml",NA,NA,"45000","OPERATIONS/SCHOLARSHIPS",NA,NA,NA
"201501669349300545","770420446","California Living Museum Foundation","2014","990","https://s3.amazonaws.com/irs-form-990/201501669349300545_public.xml","956000941",NA,NA,"IMPROVE CALM","8384","COST","PHONE SYSTEM"
"201540729349300314","954087882","ASSOCIATION OF CHILDREN'S MUSEUMS INC","2013","990","https://s3.amazonaws.com/irs-form-990/201540729349300314_public.xml","942870828","501(C)(3)","797100","FFACES PLANNING GRANT",NA,NA,NA
"201540729349300314","954087882","ASSOCIATION OF CHILDREN'S MUSEUMS INC","2013","990","https://s3.amazonaws.com/irs-form-990/201540729349300314_public.xml","042103993","501(C)(3)","427380","FFACES PLANNING GRANT, AMAZON STUDIOS PROMOTION",NA,NA,NA
"201540729349300314","954087882","ASSOCIATION OF CHILDREN'S MUSEUMS INC","2013","990","https://s3.amazonaws.com/irs-form-990/201540729349300314_public.xml","742178563","501(C)(3)","846400","FFACES PLANNING GRANT, AMAZON STUDIOS PROMOTION",NA,NA,NA
"201540729349300314","954087882","ASSOCIATION OF CHILDREN'S MUSEUMS INC","2013","990","https://s3.amazonaws.com/irs-form-990/201540729349300314_public.xml","132761376","501(C)(3)","783275","FFACES PLANNING GRANT",NA,NA,NA
"201540729349300314","954087882","ASSOCIATION OF CHILDREN'S MUSEUMS INC","2013","990","https://s3.amazonaws.com/irs-form-990/201540729349300314_public.xml","911405065","501(C)(3)","21668","GOING WILD GRANT AWARD",NA,NA,NA
"201540729349300314","954087882","ASSOCIATION OF CHILDREN'S MUSEUMS INC","2013","990","https://s3.amazonaws.com/irs-form-990/201540729349300314_public.xml","371534978","501(C)(3)","21667","GOING WILD GRANT AWARD",NA,NA,NA
"201540729349300314","954087882","ASSOCIATION OF CHILDREN'S MUSEUMS INC","2013","990","https://s3.amazonaws.com/irs-form-990/201540729349300314_public.xml","391383497","501(C)(3)","21668","GOING WILD GRANT AWARD",NA,NA,NA
"201540729349300314","954087882","ASSOCIATION OF CHILDREN'S MUSEUMS INC","2013","990","https://s3.amazonaws.com/irs-form-990/201540729349300314_public.xml","510138441","501(C)(3)","691540","FFACES PLANNING GRANT",NA,NA,NA
"201540729349300314","954087882","ASSOCIATION OF CHILDREN'S MUSEUMS INC","2013","990","https://s3.amazonaws.com/irs-form-990/201540729349300314_public.xml","680033227","501(C)(3)","37000","AMAZON STUDIOS PROMOTION",NA,NA,NA
"201540729349300314","954087882","ASSOCIATION OF CHILDREN'S MUSEUMS INC","2013","990","https://s3.amazonaws.com/irs-form-990/201540729349300314_public.xml","112495664","501(C)(3)","35000","AMAZON STUDIOS PROMOTION",NA,NA,NA
"201110629349300801","742442053","PIONEERS MUSEUM FOUNDATION OF COLORADO SPRINGS","2010","990","https://s3.amazonaws.com/irs-form-990/201110629349300801_public.xml","846000573",NA,"62393","STARSMORE RESEARCH COORDINATOR, PRESERVATION PROJECTS, COLLECTION ACQUISITIONS, AND PRESERVATION SUPPLIES",NA,NA,NA
"202003119349302540","363706878","KOHL CHILDREN'S MUSEUM OF","2019","990","https://s3.amazonaws.com/irs-form-990/202003119349302540_public.xml","366005821","GOV'T INSTITUTION","15000","ECC PROGRAM",NA,NA,NA
"201300859349300230","942864660","THE TECH MUSEUM OF INNOVATION","2011","990","https://s3.amazonaws.com/irs-form-990/201300859349300230_public.xml","300627106","501(C)(3)","50000","PRIZE FOR THE TECH AWARDS",NA,"FMV",NA
"201300859349300230","942864660","THE TECH MUSEUM OF INNOVATION","2011","990","https://s3.amazonaws.com/irs-form-990/201300859349300230_public.xml","022630593","501(C)(3)","50000","PRIZE FOR THE TECH AWARDS",NA,"FMV",NA
"201300859349300230","942864660","THE TECH MUSEUM OF INNOVATION","2011","990","https://s3.amazonaws.com/irs-form-990/201300859349300230_public.xml","846049811","501(C)(3)","50000","PRIZE FOR THE TECH AWARDS",NA,"FMV",NA
"201300859349300230","942864660","THE TECH MUSEUM OF INNOVATION","2011","990","https://s3.amazonaws.com/irs-form-990/201300859349300230_public.xml","133421446","501(C)(3)","50000","PRIZE FOR THE TECH AWARDS",NA,"FMV",NA
"201641339349305214","860765761","PHOENIX ART MUSEUM ENDOWMENT FUND INC","2014","990","https://s3.amazonaws.com/irs-form-990/201641339349305214_public.xml","860072608","501(C)(3)","5557104","SUPPORT OF PROGRAMS",NA,NA,NA
"201641339349305214","860765761","PHOENIX ART MUSEUM ENDOWMENT FUND INC","2014","990","https://s3.amazonaws.com/irs-form-990/201641339349305214_public.xml","860072608","501(C)(3)","25525","ANNUAL MUSEUM DRAW",NA,NA,NA
"201733189349309858","300833462","TMT International Observatory LLC","2016","990","https://s3.amazonaws.com/irs-form-990/201733189349309858_public.xml","943263044","501(C)(3)","252500","Community Support",NA,"FMV",NA
"201733189349309858","300833462","TMT International Observatory LLC","2016","990","https://s3.amazonaws.com/irs-form-990/201733189349309858_public.xml","990261283","501(C)(3)","757500","Community Support",NA,"FMV",NA
"201302249349300100","530205889","American Association of Museums","2012","990","https://s3.amazonaws.com/irs-form-990/201302249349300100_public.xml","237444497","501(c)(3)","106375","To call attention to the worldwide dilemma of increasing waste production and foster solutions, middle school students acted as amateur archaeologists, photographing, filming and describing their own families' garbage and researching how the approach to waste has changed over generations.",NA,NA,NA
"201302249349300100","530205889","American Association of Museums","2012","990","https://s3.amazonaws.com/irs-form-990/201302249349300100_public.xml","521336484","501(c)(3)","39448","Mentor teachers from urban and rainforest-based school districts collaboratively developed materials for teacher trainings and student activities. As the teachers trained their colleagues in inquiry-based science lessons, cross-cultural teams of students shared information about the diversity of the rainforests and cultures in their regions.",NA,NA,NA
"201302249349300100","530205889","American Association of Museums","2012","990","https://s3.amazonaws.com/irs-form-990/201302249349300100_public.xml","112495664","501(c)(3)","45000","Young adults in the cultural hubs of Dakar and Brooklyn investigate the current and historical impact of migration in their two communities, as well as the roles of migrants in shaping a national cultural identity, by thinking about the issue from the perspectives of local youth.",NA,NA,NA
"201302249349300100","530205889","American Association of Museums","2012","990","https://s3.amazonaws.com/irs-form-990/201302249349300100_public.xml","952210527","501(c)(3)","134835","Mentor teachers from urban and rainforest-based school districts collaboratively developed materials for teacher trainings and student activities. As the teachers trained their colleagues in inquiry-based science lessons, cross-cultural teams of students shared information about the diversity of the rainforests and cultures in their regions.",NA,NA,NA
"201302249349300100","530205889","American Association of Museums","2012","990","https://s3.amazonaws.com/irs-form-990/201302249349300100_public.xml","943146233","501(c)(3)","21000","Cross-cultural teams from Oakland and Hong Kong explore differences and commonalities in Western and Chinese astronomy and participate in career development workshops that highlight career paths in astronomy and space sciences.",NA,NA,NA
"201302249349300100","530205889","American Association of Museums","2012","990","https://s3.amazonaws.com/irs-form-990/201302249349300100_public.xml","521126625","501(c)(3)","10333","Members of the Pueblo Indian communities in Albuquerque and individuals from Azerbaijan work together with archeologists and conservationists specializing in the study of petroglyphs-human-made carvings on rock surfaces-to tackle preservation challenges, share cultural perspectives and generate techniques for community outreach to ensure the future of these powerful yet fragile monuments of our common human history.",NA,NA,NA
"201302249349300100","530205889","American Association of Museums","2012","990","https://s3.amazonaws.com/irs-form-990/201302249349300100_public.xml","770072401","501(c)(3)","47000","Through an online exhibition, a new generation of Muslim women share their perspectives and ideas, addressing myths and prejudices and fostering understanding between Muslims and non-Muslims in the U.S. and globally. Participants create and curate art and multimedia to raise public awareness in their communities and beyond about the richness and diversity of their lives, ideas and identities.",NA,NA,NA
