"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SH_04_CO_ENTITY_ACT_DESC","SH_04_CO_PROFIT_PCT_ORG","SH_04_CO_PROFIT_PCT_OFF","SH_04_CO_PROFIT_PCT_PHYSICIAN","SH_04_CO_ENTITY_NAME_L1"
"202022269349301412","060646554","BRIDGEPORT HOSPITAL","2018","990","https://s3.amazonaws.com/irs-form-990/202022269349301412_public.xml","NONE",NA,NA,NA,NA
"201621379349301967","340714479","GRACE HOSPITAL","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349301967_public.xml","NOT-FOR-PROFIT LONG-TERM ACUTE CARE HOSPITAL IN LORAIN, OHIO","0.33330","0.00000","0.00000",NA
"201221299349300702","231352204","THE READING HOSPITAL & MEDICAL","2010","990","https://s3.amazonaws.com/irs-form-990/201221299349300702_public.xml","OUTPATIENT SURGERY","0.50000",NA,"0.50000",NA
"201221299349300702","231352204","THE READING HOSPITAL & MEDICAL","2010","990","https://s3.amazonaws.com/irs-form-990/201221299349300702_public.xml","PHYSICAL THERAPY","0.40000",NA,NA,NA
"201603199349303430","560554230","THE PRESBYTERIAN HOSPITAL","2015","990","https://s3.amazonaws.com/irs-form-990/201603199349303430_public.xml","HEALTHCARE","0.60000","0.00000","0.40000",NA
"201513209349311276","942823538","MARIN GENERAL HOSPITAL","2014","990","https://s3.amazonaws.com/irs-form-990/201513209349311276_public.xml","OUTPATIENT SURGERY CENTER","0.51000","0.00000","0.00000",NA
"201513209349311276","942823538","MARIN GENERAL HOSPITAL","2014","990","https://s3.amazonaws.com/irs-form-990/201513209349311276_public.xml","OUTPATIENT IMAGING/MRI CENTER","0.51000","0.00000","0.00000",NA
"201911359349303341","344451872","GALION COMMUNITY HOSPITAL","2017","990","https://s3.amazonaws.com/irs-form-990/201911359349303341_public.xml","SERVICES FOR VASCULAR DIFFICULTIES","0.52000","0.00000","0.48000",NA
"201911359349303341","344451872","GALION COMMUNITY HOSPITAL","2017","990","https://s3.amazonaws.com/irs-form-990/201911359349303341_public.xml","PAIN CLINIC","0.51000","0.00000","0.49000",NA
"201911359349303341","344451872","GALION COMMUNITY HOSPITAL","2017","990","https://s3.amazonaws.com/irs-form-990/201911359349303341_public.xml","SPINAL CARE","0.51000","0.00000","0.49000",NA
"202041929349301899","470379755","Good Samaritan Hospital","2018","990","https://s3.amazonaws.com/irs-form-990/202041929349301899_public.xml","SURGERY","0.206","0.0","0.6432",NA
"201232229349301208","910564748","SEATTLE CHILDREN'S HOSPITAL","2010","990","https://s3.amazonaws.com/irs-form-990/201232229349301208_public.xml",NA,NA,NA,NA,"1 NA"
"201602109349300920","370661199","DECATUR MEMORIAL HOSPITAL","2014","990","https://s3.amazonaws.com/irs-form-990/201602109349300920_public.xml","AMBULATORY ENDOSCOPY CENTER","0.50000",NA,"0.50000",NA
