"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SK_05_BOND_ISSUE_REFERENCE_NUM","SK_05_PROC_CORRECTIVE_ACT_X","Identifier","Explanation"
"202101139349300315","952210527","CALIFORNIA SCIENCE CENTER FOUNDATION","2019","990","https://s3.amazonaws.com/irs-form-990/202101139349300315_public.xml","A","1",NA,NA
"201823169349302777","520668166","MARYLAND ACADEMY OF SCIENCES","2017","990","https://s3.amazonaws.com/irs-form-990/201823169349302777_public.xml","A","0",NA,NA
"201623209349308232","043157815","PEABODY ESSEX MUSEUM INC","2015","990","https://s3.amazonaws.com/irs-form-990/201623209349308232_public.xml","A","1",NA,NA
"202023219349304317","760217152","MANNED SPACE FLIGHT EDUCATION","2019","990","https://s3.amazonaws.com/irs-form-990/202023219349304317_public.xml","A","0",NA,NA
"202023219349304317","760217152","MANNED SPACE FLIGHT EDUCATION","2019","990","https://s3.amazonaws.com/irs-form-990/202023219349304317_public.xml","B","0",NA,NA
"202023189349311082","464118590","THE WALT DISNEY FAMILY MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202023189349311082_public.xml","A","1",NA,NA
"201432239349301048","530206027","Smithsonian Institution","2012","990","https://s3.amazonaws.com/irs-form-990/201432239349301048_public.xml","A","1",NA,NA
"201432239349301048","530206027","Smithsonian Institution","2012","990","https://s3.amazonaws.com/irs-form-990/201432239349301048_public.xml","B","1",NA,NA
"201641349349304219","340714336","Cleveland Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349304219_public.xml","A","false",NA,NA
"201641349349304219","340714336","Cleveland Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349304219_public.xml","B","false",NA,NA
"202002309349303615","954739699","PETERSEN AUTOMOTIVE MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/202002309349303615_public.xml","A","1",NA,NA
"202040629349300329","510205333","VIRGINIA MUSEUM OF FINE ARTS FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/202040629349300329_public.xml","A","0",NA,NA
"202040629349300329","510205333","VIRGINIA MUSEUM OF FINE ARTS FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/202040629349300329_public.xml","B","0",NA,NA
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml",NA,NA,"ADDITIONAL INFORMATION","See Schedule O for additional disclosures."
"201903129349302130","620753887","COUNTRY MUSIC FOUNDATION INC","2018","990","https://s3.amazonaws.com/irs-form-990/201903129349302130_public.xml","A","0",NA,NA
"201721179349301402","133475390","LOWER EAST SIDE TENEMENT MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201721179349301402_public.xml","A","0",NA,NA
"201903019349300230","421415581","SALISBURY HOUSE FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/201903019349300230_public.xml","A","0",NA,NA
"201801319349302585","941156258","CALIFORNIA ACADEMY OF SCIENCES","2016","990","https://s3.amazonaws.com/irs-form-990/201801319349302585_public.xml","A","true",NA,NA
"201512889349301656","930402877","OREGON MUSEUM OF SCIENCE AND INDUSTRY","2014","990","https://s3.amazonaws.com/irs-form-990/201512889349301656_public.xml","A","1",NA,NA
"202100409349300920","131624086","METROPOLITAN MUSEUM OF ART","2019","990","https://s3.amazonaws.com/irs-form-990/202100409349300920_public.xml","A","true",NA,NA
"202100409349300920","131624086","METROPOLITAN MUSEUM OF ART","2019","990","https://s3.amazonaws.com/irs-form-990/202100409349300920_public.xml","B","true",NA,NA
"201443189349304304","411260780","Plains Art Museum","2013","990","https://s3.amazonaws.com/irs-form-990/201443189349304304_public.xml","A","0",NA,NA
"201621279349300802","231365388","Philadelphia Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201621279349300802_public.xml","A","1",NA,NA
