"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","FacilityNum","SH_05_HOSPITAL_WEBSITE","SH_05_HOSPITAL_STATE_LIC_NUM","SH_05_HOSPITAL_LIC_X","SH_05_HOSPITAL_MEDICAL_X","SH_05_HOSPITAL_CHILDREN_X","SH_05_HOSPITAL_TEACHING_X","SH_05_HOSPITAL_ER_24HOURS_X","SH_05_HOSPITAL_OTH","SH_05_HOSPITAL_FACILITY_GROUP","FacilityNumber","SH_05_HOSPITAL_CRITICAL_ACCESS_X","SH_05_HOSPITAL_RSRCH_FACILITY_X","SH_05_HOSPITAL_SUBORD_EIN","SH_05_HOSPITAL_ER_OTH_X"
"202022269349301412","060646554","BRIDGEPORT HOSPITAL","2018","990","https://s3.amazonaws.com/irs-form-990/202022269349301412_public.xml","1","WWW.BRIDGEPORTHOSPITAL.ORG","0040","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA
"201621379349301967","340714479","GRACE HOSPITAL","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349301967_public.xml","1","WWW.GRACEHOSPITAL.ORG",NA,"X",NA,NA,NA,NA,"LONG TERM ACUTE CARE","A",NA,NA,NA,NA,NA
"201621379349301967","340714479","GRACE HOSPITAL","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349301967_public.xml","2","WWW.GRACEHOSPITAL.ORG",NA,"X",NA,NA,NA,NA,"LONG TERM ACUTE CARE","A",NA,NA,NA,NA,NA
"201621379349301967","340714479","GRACE HOSPITAL","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349301967_public.xml","3","WWW.GRACEHOSPITAL.ORG",NA,"X",NA,NA,NA,NA,"LONG TERM ACUTE CARE","A",NA,NA,NA,NA,NA
"201621379349301967","340714479","GRACE HOSPITAL","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349301967_public.xml","4","WWW.GRACEHOSPITAL.ORG",NA,"X",NA,NA,NA,NA,"LONG TERM ACUTE CARE","A",NA,NA,NA,NA,NA
"201621379349301967","340714479","GRACE HOSPITAL","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349301967_public.xml","5","WWW.SPECIALTYHOSPITALOFLORAIN.ORG",NA,"X",NA,NA,NA,NA,"LONG TERM ACUTE CARE",NA,NA,NA,NA,NA,NA
"201201329349301670","232826045","Jeanes Hospital","2010","990","https://s3.amazonaws.com/irs-form-990/201201329349301670_public.xml",NA,NA,NA,"X","X",NA,"X","X","Home health care",NA,"1",NA,NA,NA,NA
"201221299349300702","231352204","THE READING HOSPITAL & MEDICAL","2010","990","https://s3.amazonaws.com/irs-form-990/201221299349300702_public.xml",NA,NA,NA,"X","X",NA,"X","X",NA,NA,"1",NA,NA,NA,NA
"201831159349301018","250984595","BROOKVILLE HOSPITAL","2016","990","https://s3.amazonaws.com/irs-form-990/201831159349301018_public.xml","1","WWW.PHHEALTHCARE.ORG","28050101","X","X",NA,NA,"X",NA,NA,NA,"X",NA,NA,NA
"201913189349311611","311518658","POMERENE HOSPITAL","2018","990","https://s3.amazonaws.com/irs-form-990/201913189349311611_public.xml","1","WWW.POMERENE.ORG","1202","X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
