"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SR_05_TRANSAC_TYPE","SR_05_TRANSAC_AMT_INVOLVED","SR_05_TRANSAC_METHOD_DETERMIN","SR_05_TRANSAC_NAME_L1"
"201842279349302559","741400537","THE WITTE MUSEUM","2016","990","https://s3.amazonaws.com/irs-form-990/201842279349302559_public.xml","D","150630","LOAN AMOUNT","THE WITTE FOUNDATION"
"201842279349302559","741400537","THE WITTE MUSEUM","2016","990","https://s3.amazonaws.com/irs-form-990/201842279349302559_public.xml","K","273000","MARKET VALUE","THE WITTE TITLE HOLDING COMPANY"
"201842279349302559","741400537","THE WITTE MUSEUM","2016","990","https://s3.amazonaws.com/irs-form-990/201842279349302559_public.xml","N","230994","COST","THE WITTE FOUNDATION"
"201912849349300511","760225927","TEXAS ENERGY MUSEUM INC","2018","990","https://s3.amazonaws.com/irs-form-990/201912849349300511_public.xml","C","63054","CASH","TEXAS ENERGY MUSEUM FOUNDATION"
"202000269349300205","237055827","MILWAUKEE PUBLIC MUSEUM ENDOWMENT FUND","2018","990","https://s3.amazonaws.com/irs-form-990/202000269349300205_public.xml","B","62165","FMV","MILWAUKEE PUBLIC MUSEUM"
"202000269349300205","237055827","MILWAUKEE PUBLIC MUSEUM ENDOWMENT FUND","2018","990","https://s3.amazonaws.com/irs-form-990/202000269349300205_public.xml","D","510000","FMV","MILWAUKEE PUBLIC MUSEUM"
"201743189349305134","510210113","Polish Museum of America","2016","990","https://s3.amazonaws.com/irs-form-990/201743189349305134_public.xml","c","75000","FMV","Polish Roman Catholic Union of America"
"201513489349301316","570611604","MIDDLETON PLACE FOUNDATION","2014","990","https://s3.amazonaws.com/irs-form-990/201513489349301316_public.xml","A","51312",NA,"MIDDLETON PLACE REGISTERED NATIONAL HISTORIC LANDMARK INC"
"201513489349301316","570611604","MIDDLETON PLACE FOUNDATION","2014","990","https://s3.amazonaws.com/irs-form-990/201513489349301316_public.xml","D","611569",NA,"MIDDLETON PLACE REGISTERED NATIONAL HISTORIC LANDMARK INC"
"201513489349301316","570611604","MIDDLETON PLACE FOUNDATION","2014","990","https://s3.amazonaws.com/irs-form-990/201513489349301316_public.xml","H","58023",NA,"MIDDLETON PLACE REGISTERED NATIONAL HISTORIC LANDMARK INC"
"201513489349301316","570611604","MIDDLETON PLACE FOUNDATION","2014","990","https://s3.amazonaws.com/irs-form-990/201513489349301316_public.xml","K","152784",NA,"MIDDLETON PLACE REGISTERED NATIONAL HISTORIC LANDMARK INC"
"201513489349301316","570611604","MIDDLETON PLACE FOUNDATION","2014","990","https://s3.amazonaws.com/irs-form-990/201513489349301316_public.xml","M","130693",NA,"MIDDLETON PLACE REGISTERED NATIONAL HISTORIC LANDMARK INC"
"201513489349301316","570611604","MIDDLETON PLACE FOUNDATION","2014","990","https://s3.amazonaws.com/irs-form-990/201513489349301316_public.xml","R","12000",NA,"MIDDLETON PLACE REGISTERED NATIONAL HISTORIC LANDMARK INC"
"201513489349301316","570611604","MIDDLETON PLACE FOUNDATION","2014","990","https://s3.amazonaws.com/irs-form-990/201513489349301316_public.xml","S","752000",NA,"MIDDLETON PLACE REGISTERED NATIONAL HISTORIC LANDMARK INC"
"201513489349301316","570611604","MIDDLETON PLACE FOUNDATION","2014","990","https://s3.amazonaws.com/irs-form-990/201513489349301316_public.xml","A","2357",NA,"MIDDLETON OPERATING CORPORATION"
"201513489349301316","570611604","MIDDLETON PLACE FOUNDATION","2014","990","https://s3.amazonaws.com/irs-form-990/201513489349301316_public.xml","D","-4544",NA,"MIDDLETON OPERATING CORPORATION"
"201513489349301316","570611604","MIDDLETON PLACE FOUNDATION","2014","990","https://s3.amazonaws.com/irs-form-990/201513489349301316_public.xml","S","4695",NA,"MIDDLETON OPERATING CORPORATION"
"201210689349300936","370818561","LAKEVIEW MUSEUM OF ARTS AND SCIENCE","2010","990","https://s3.amazonaws.com/irs-form-990/201210689349300936_public.xml","Q","150000",NA,"PEORIA RIVERFRONT MUSEUM"
"201210689349300936","370818561","LAKEVIEW MUSEUM OF ARTS AND SCIENCE","2010","990","https://s3.amazonaws.com/irs-form-990/201210689349300936_public.xml","C","112245",NA,"PEORIA RIVERFRONT MUSEUM FOUNDATION"
"201741099349300734","650445848","MUSEUM CENTER CORPORATION","2015","990","https://s3.amazonaws.com/irs-form-990/201741099349300734_public.xml","B","866490","ACTUAL","BOCA RATON MUSEUM OF ART"
"201201369349305510","150565616","ROBERSON MEMORIAL INC","2010","990","https://s3.amazonaws.com/irs-form-990/201201369349305510_public.xml","c","34835",NA,"THE ROBERSON FOUNDATION"
"201902689349300410","161574467","ROGER TORY PETERSON INSTITUTE","2018","990","https://s3.amazonaws.com/irs-form-990/201902689349300410_public.xml","B","67000","DISTRIBUTIONS TO RTPI","ROGER TORY PETERSON INST NAT'L HIST"
"201902689349300410","161574467","ROGER TORY PETERSON INSTITUTE","2018","990","https://s3.amazonaws.com/irs-form-990/201902689349300410_public.xml","E","9216","PAYMENT OF EXP BY RTPI","ROGER TORY PETERSON INST NAT'L HIST"
"201902689349300410","161574467","ROGER TORY PETERSON INSTITUTE","2018","990","https://s3.amazonaws.com/irs-form-990/201902689349300410_public.xml","O","23696","ALLOCATED COST EMPLOYEES","ROGER TORY PETERSON INST NAT'L HIST"
"201902689349300410","161574467","ROGER TORY PETERSON INSTITUTE","2018","990","https://s3.amazonaws.com/irs-form-990/201902689349300410_public.xml","P","35062","REIMB OF EXP PAID BY RTPI","ROGER TORY PETERSON INST NAT'L HIST"
"201902689349300410","161574467","ROGER TORY PETERSON INSTITUTE","2018","990","https://s3.amazonaws.com/irs-form-990/201902689349300410_public.xml","S","10000","TRANSFER RESTRICTED CONTR","ROGER TORY PETERSON INST NAT'L HIST"
"201831359349300518","582415361","FORE AUGUSTA FOUNDATION INC","2017","990","https://s3.amazonaws.com/irs-form-990/201831359349300518_public.xml","N",NA,NA,"FIRST TEE MAINTENANCE LLC"
"201910359349301266","630644957","MUSEUM BOARD OF THE CITY OF HUNTSVILLE","2017","990","https://s3.amazonaws.com/irs-form-990/201910359349301266_public.xml","n",NA,NA,"CITY OF HUNTSVILLE"
"201910359349301266","630644957","MUSEUM BOARD OF THE CITY OF HUNTSVILLE","2017","990","https://s3.amazonaws.com/irs-form-990/201910359349301266_public.xml","q","710000",NA,"CITY OF HUNTSVILLE"
