"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","F9_08_REV_PROG_DESC","F9_08_REV_PROG_BIZCODE","F9_08_REV_PROG_TOT","F9_08_REV_PROG_RLTD","F9_08_REV_PROG_UBIZ","F9_08_REV_PROG_EXCL"
"202042269349302524","850232968","INDIAN PUEBLO CULTURAL CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202042269349302524_public.xml","MUSEUM ADMISSIONS","743990","348558","348558",NA,NA
"202042269349302524","850232968","INDIAN PUEBLO CULTURAL CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202042269349302524_public.xml","EVENTS","999999","75367","75367",NA,NA
"202003159349302510","231371952","THE BUCKS COUNTY HISTORICAL SOCIETY INC","2019","990","https://s3.amazonaws.com/irs-form-990/202003159349302510_public.xml","MUSEUM ADMISSIONS","713990","327829","327829",NA,NA
"202003159349302510","231371952","THE BUCKS COUNTY HISTORICAL SOCIETY INC","2019","990","https://s3.amazonaws.com/irs-form-990/202003159349302510_public.xml","MUSEUM OPERATIONS","713990","88046","88046",NA,NA
"202003159349302510","231371952","THE BUCKS COUNTY HISTORICAL SOCIETY INC","2019","990","https://s3.amazonaws.com/irs-form-990/202003159349302510_public.xml","MEMBERSHIP DUES","900099","74644","74644",NA,NA
"202101049349300400","860390558","ARIZONA SCIENCE CENTER","2019","990","https://s3.amazonaws.com/irs-form-990/202101049349300400_public.xml","ADMISSIONS","900099","2211075","2211075",NA,NA
"202101049349300400","860390558","ARIZONA SCIENCE CENTER","2019","990","https://s3.amazonaws.com/irs-form-990/202101049349300400_public.xml","EDUCATION","900099","892542","892542",NA,NA
"202041979349303114","131624098","MUSEUM OF THE CITY OF NEW YORK","2018","990","https://s3.amazonaws.com/irs-form-990/202041979349303114_public.xml","ADMISSIONS","713990","1125045","1125045",NA,NA
"202041979349303114","131624098","MUSEUM OF THE CITY OF NEW YORK","2018","990","https://s3.amazonaws.com/irs-form-990/202041979349303114_public.xml","EDUCATIONAL PROGRAMS","611710","488171","488171",NA,NA
"202041979349303114","131624098","MUSEUM OF THE CITY OF NEW YORK","2018","990","https://s3.amazonaws.com/irs-form-990/202041979349303114_public.xml","MEMBERSHIP DUES","713990","486422","486422",NA,NA
