"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SD_07_INVEST_SEC_OTH_DESC","SD_07_INVEST_SEC_DERIVATIVE_BV","SD_07_INVEST_SEC_DERIVATIVE_MOV","SD_07_INVEST_SEC_DERIVATIVE_BV.1","SD_07_INVEST_SEC_DERIVATIVE_BV.2"
"201312269349303076","382561101","US NATIONAL SKI HALL OF FAME AND MUSEUM INC","2012","990","https://s3.amazonaws.com/irs-form-990/201312269349303076_public.xml","Financial derivatives and other financial products",NA,NA,NA,NA
"201312269349303076","382561101","US NATIONAL SKI HALL OF FAME AND MUSEUM INC","2012","990","https://s3.amazonaws.com/irs-form-990/201312269349303076_public.xml","Closely-held equity interests",NA,NA,NA,NA
"201602109349300300","530206027","Smithsonian Institution","2014","990","https://s3.amazonaws.com/irs-form-990/201602109349300300_public.xml","Global & Emerging Markets","379714254","F",NA,NA
"201602109349300300","530206027","Smithsonian Institution","2014","990","https://s3.amazonaws.com/irs-form-990/201602109349300300_public.xml","Marketable Alternatives","324938375","F",NA,NA
"201602109349300300","530206027","Smithsonian Institution","2014","990","https://s3.amazonaws.com/irs-form-990/201602109349300300_public.xml","Private Equity & Venture Capital","232908236","F",NA,NA
"201602109349300300","530206027","Smithsonian Institution","2014","990","https://s3.amazonaws.com/irs-form-990/201602109349300300_public.xml","Natural Resources","68062531","F",NA,NA
"201602109349300300","530206027","Smithsonian Institution","2014","990","https://s3.amazonaws.com/irs-form-990/201602109349300300_public.xml","Real Estate","89961104","F",NA,NA
"201602109349300300","530206027","Smithsonian Institution","2014","990","https://s3.amazonaws.com/irs-form-990/201602109349300300_public.xml","Fixed Income","10901466","F",NA,NA
"201501609349300240","010378420","Portland Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201501609349300240_public.xml","Investments in Limited Partnerships","1095431","F",NA,NA
"201501609349300240","010378420","Portland Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201501609349300240_public.xml","Limited Liability and Other Closely Held Companies","5005081","F",NA,NA
"201421479349300722","846039410","Fort Morgan Heritage Foundation","2013","990","https://s3.amazonaws.com/irs-form-990/201421479349300722_public.xml","Financial derivatives and other financial products",NA,NA,NA,NA
"201421479349300722","846039410","Fort Morgan Heritage Foundation","2013","990","https://s3.amazonaws.com/irs-form-990/201421479349300722_public.xml","Closely-held equity interests",NA,NA,NA,NA
"202121379349304852","520852975","BALTIMORE STREETCAR MUSEUM INC","2019","990","https://s3.amazonaws.com/irs-form-990/202121379349304852_public.xml","CLOSED-END MUTUAL FUNDS AND COMMON STOCKS","942851","F",NA,NA
"201623289349300607","310843232","THE TRAPSHOOTING HALL OF FAME INC","2015","990","https://s3.amazonaws.com/irs-form-990/201623289349300607_public.xml","GOVERNMENT AND CORPORATE NOTES","0","F","0","710778"
