"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SM_01_OTH_NONCSH_X","SM_01_OTH_NONCSH_DESC","SM_01_OTH_NUM_CONTR","SM_01_OTH_NONCSH_CONTR","SM_01_OTH_METHOD_REV"
"201100849349300315","131789318","whitney museum of american art","2009","990","https://s3.amazonaws.com/irs-form-990/201100849349300315_public.xml","X","construction","1","1197000","FAIR MARKET VALUE"
"201921359349305877","760403753","BRAZORIA COUNTY HISTORICAL MUSEUM","2017","990","https://s3.amazonaws.com/irs-form-990/201921359349305877_public.xml","X",NA,"1","648281",NA
"201901309349301410","860390558","ARIZONA SCIENCE CENTER","2017","990","https://s3.amazonaws.com/irs-form-990/201901309349301410_public.xml","X","EXHIBIT SUPPLIES AND MATERIALS","10","32416","FMV"
"201901309349301410","860390558","ARIZONA SCIENCE CENTER","2017","990","https://s3.amazonaws.com/irs-form-990/201901309349301410_public.xml","X","AIRLINE MILES","1","10000","FMV"
"201901309349301410","860390558","ARIZONA SCIENCE CENTER","2017","990","https://s3.amazonaws.com/irs-form-990/201901309349301410_public.xml","X","GIFT CARDS","1","2500","FMV"
"201641829349300644","466015015","ZOOLOGICAL SOCIETY OF SIOUX FALLS","2015","990","https://s3.amazonaws.com/irs-form-990/201641829349300644_public.xml","X","PROPERTY IMPROV","1","366585","DONOR PROVIDED VALUE"
"201322249349302532","753074727","MISSOURI CIVIL WAR MUSEUM","2012","990","https://s3.amazonaws.com/irs-form-990/201322249349302532_public.xml","X","FURNITURE/EQUIP","10","13000","COMPARISON & RESEARCH"
"201641349349306599","561240806","FRIENDS OF THE NC STATE MUSEUM","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349306599_public.xml","X","COMPUTER/ACCESSORIES","4","976","FAIR MARKET VALUE"
"201641349349306599","561240806","FRIENDS OF THE NC STATE MUSEUM","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349306599_public.xml","X","EQUIPMENT","3","44500","FAIR MARKET VALUE"
"201641349349306599","561240806","FRIENDS OF THE NC STATE MUSEUM","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349306599_public.xml","X","VOUCHERS/MEMBERSHIPS","2","275","FAIR MARKET VALUE"
"201641349349306599","561240806","FRIENDS OF THE NC STATE MUSEUM","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349306599_public.xml","X","GIFT CARDS","2","2200","COST OF DONATED ITEM"
"202021819349301607","911405065","HANDS ON CHILDREN'S MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202021819349301607_public.xml","X","MUSEUM & EXHIBIT ITEMS","17","64138","FMV"
"202021819349301607","911405065","HANDS ON CHILDREN'S MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202021819349301607_public.xml","X","FUNDRAISING EVENT ITEMS","25","61576","FMV"
"202021819349301607","911405065","HANDS ON CHILDREN'S MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202021819349301607_public.xml","X","SUPPLIES","100","42085","FMV"
"201413189349303316","391856383","CHILDREN'S MUSEUM OF LA CROSSE INC","2013","990","https://s3.amazonaws.com/irs-form-990/201413189349303316_public.xml","X","BANK EXHIBIT","1","28215","COST"
"201643209349315149","042203829","LONGYEAR FOUNDATION","2015","990","https://s3.amazonaws.com/irs-form-990/201643209349315149_public.xml","X","DONATED RUG - VALUE ESTIMATED BY OUTSIDE APPRAISER","1","8500",NA
"201303179349303525","951696715","SAN DIEGO MUSEUM OF ART","2012","990","https://s3.amazonaws.com/irs-form-990/201303179349303525_public.xml","X","CATERING","3","45100","FAIR MARKET VALUE"
"201303179349303525","951696715","SAN DIEGO MUSEUM OF ART","2012","990","https://s3.amazonaws.com/irs-form-990/201303179349303525_public.xml","X","FLOWERS","1","20000","FAIR MARKET VALUE"
"201902699349301040","943047492","THE DISCOVERY CENTER OF IDAHO INC","2018","990","https://s3.amazonaws.com/irs-form-990/201902699349301040_public.xml","X","GALA AUCTION ITEMS","136","26380","BOOK/DONOR VALUE"
"201432029349300343","208096779","AVERY COPP MUSEUM","2013","990","https://s3.amazonaws.com/irs-form-990/201432029349300343_public.xml","X","ANTIQUE FURNITURE","1","198326","APPRAISED VALUE"
"201622219349300427","582225585","DELTA AIR TRANSPORT HERITAGE MUSEUM INC","2015","990","https://s3.amazonaws.com/irs-form-990/201622219349300427_public.xml","X","RETIRED AIRLINE EQUIPMENT/MDSE","1","96757","FMV"
"201901789349300300","043274100","NEW BEDFORD MUSEUM AND ART CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/201901789349300300_public.xml","X","FACILITY","1","48000",NA
"201901789349300300","043274100","NEW BEDFORD MUSEUM AND ART CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/201901789349300300_public.xml","X","DONATED SVCS","1","15672",NA
"201901789349300300","043274100","NEW BEDFORD MUSEUM AND ART CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/201901789349300300_public.xml","X","DONATED GOODS","1","15305",NA
"201831719349300128","912122256","PORT TOWNSEND AERO MUSEUM","2017","990","https://s3.amazonaws.com/irs-form-990/201831719349300128_public.xml","X","WW11 ITEMS","1","0","FMV"
"201831719349300128","912122256","PORT TOWNSEND AERO MUSEUM","2017","990","https://s3.amazonaws.com/irs-form-990/201831719349300128_public.xml","X","ENGINE","1","0","FMV"
"201633149349302643","111761496","SAG HARBOR WHALING & HISTORICAL","2015","990","https://s3.amazonaws.com/irs-form-990/201633149349302643_public.xml","X",NA,"1","36700",NA
"201612249349301586","136161708","Millicent Rogers Museum Inc","2015","990","https://s3.amazonaws.com/irs-form-990/201612249349301586_public.xml","X","Flowers","1","1314","FMV"
"202000219349301200","521806933","THE BALTIMORE CHILDREN'S MUSEUM INC","2018","990","https://s3.amazonaws.com/irs-form-990/202000219349301200_public.xml","X","EXTINGUISHMENT OF DEBT","1","2260261","AMOUNT FORGIVEN"
"201742799349300229","860111675","ARIZONA-SONORA DESERT MUSEUM","2014","990","https://s3.amazonaws.com/irs-form-990/201742799349300229_public.xml","X","AUCTION ITEMS","138","72651","DONOR ESTIMATE"
"201742799349300229","860111675","ARIZONA-SONORA DESERT MUSEUM","2014","990","https://s3.amazonaws.com/irs-form-990/201742799349300229_public.xml","X","WATER","1","67445","DONOR ESTIMATE"
"201742799349300229","860111675","ARIZONA-SONORA DESERT MUSEUM","2014","990","https://s3.amazonaws.com/irs-form-990/201742799349300229_public.xml","X","SOFTWARE AND LICENSING","1","15500","DONOR ESTIMATE"
"201742799349300229","860111675","ARIZONA-SONORA DESERT MUSEUM","2014","990","https://s3.amazonaws.com/irs-form-990/201742799349300229_public.xml","X","OTHER","30","2965","DONOR ESTIMATE"
"201233199349301518","346539143","MILAN HISTORICAL MUSEUM INC","2011","990","https://s3.amazonaws.com/irs-form-990/201233199349301518_public.xml","X","DOLLS AND TOYS",NA,"347390","REPLACEMENT VALUE"
"202141319349301344","020687836","FLINT RIVERQUARIUM INC","2019","990","https://s3.amazonaws.com/irs-form-990/202141319349301344_public.xml","X","FOREGONE INT","2","14643",NA
"201431349349305273","941156300","SAN FRANCISCO MUSEUM OF MODERN ART","2012","990","https://s3.amazonaws.com/irs-form-990/201431349349305273_public.xml","X","WINES","9","54589","COST OR SELLING PRICE"
"201431349349305273","941156300","SAN FRANCISCO MUSEUM OF MODERN ART","2012","990","https://s3.amazonaws.com/irs-form-990/201431349349305273_public.xml","X","SUPPLIES","2","14836","COST OR SELLING PRICE"
"201431349349305273","941156300","SAN FRANCISCO MUSEUM OF MODERN ART","2012","990","https://s3.amazonaws.com/irs-form-990/201431349349305273_public.xml","X","FOOD AND BEV","9","57114","COST OR SELLING PRICE"
