"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","F9_07_COMP_KONTR_DESC_SVC","F9_07_COMP_KONTR_COMP","F9_07_COMP_KONTR_NAME_ORG_L1","F9_07_COMP_KONTR_ADDR_L1","F9_07_COMP_KONTR_ADDR_CITY","F9_07_COMP_KONTR_ADDR_STATE","F9_07_COMP_KONTR_ADDR_ZIP","F9_07_COMP_KONTR_NAME_PERS","ContractorAddress"
"202101049349300400","860390558","ARIZONA SCIENCE CENTER","2019","990","https://s3.amazonaws.com/irs-form-990/202101049349300400_public.xml","MAINTENANCE","313667","MERCHANTS BUILDING MAINTENANCE LLC","1221 E WASHINGTON STREET","PHOENIX","AZ","85034",NA,NA
"202101049349300400","860390558","ARIZONA SCIENCE CENTER","2019","990","https://s3.amazonaws.com/irs-form-990/202101049349300400_public.xml","EXHIBIT CONCEPT AND DESIGN","303492","THE HETTEMA GROUP","67 VALLEY STREET","PAADENA","CA","91105",NA,NA
"202101049349300400","860390558","ARIZONA SCIENCE CENTER","2019","990","https://s3.amazonaws.com/irs-form-990/202101049349300400_public.xml","EXHIBIT CABELING","300897","CANNON & WENDT ELECTRIC CO INC","4020 N 16TH STREET","PHOENIX","AZ","85016",NA,NA
"202101049349300400","860390558","ARIZONA SCIENCE CENTER","2019","990","https://s3.amazonaws.com/irs-form-990/202101049349300400_public.xml","MEDIA","150375","COLLABORATIVE COMMUNICATIONS GROUP INC","1029 VERMONT AVE NW NINTH FLOOR","WASHINGTON","DC","20005",NA,NA
"202101049349300400","860390558","ARIZONA SCIENCE CENTER","2019","990","https://s3.amazonaws.com/irs-form-990/202101049349300400_public.xml","CAMPAIGN CONSULTING","130000","THE PHOENIX PHILANTHROPY GROUP","3301 E GLENROSA AVE","PHOENIX","AZ","85018",NA,NA
"202041979349303114","131624098","MUSEUM OF THE CITY OF NEW YORK","2018","990","https://s3.amazonaws.com/irs-form-990/202041979349303114_public.xml","Digital Marketing","244050",NA,"PO Box 1394","NEW YORK","NY","10159","Electric Symphony Media",NA
"202041979349303114","131624098","MUSEUM OF THE CITY OF NEW YORK","2018","990","https://s3.amazonaws.com/irs-form-990/202041979349303114_public.xml","EXHIBIT DESIGN","174879",NA,"1205 MANHATTAN AVE","BROOKLYN","NY","11222","SOUTH SIDE DESIGN BUILDING",NA
"202041979349303114","131624098","MUSEUM OF THE CITY OF NEW YORK","2018","990","https://s3.amazonaws.com/irs-form-990/202041979349303114_public.xml","Catering","159273",NA,"110 East 42nd Street","NEW YORK","NY","10017","42nd Street Lessee LLC",NA
"202041979349303114","131624098","MUSEUM OF THE CITY OF NEW YORK","2018","990","https://s3.amazonaws.com/irs-form-990/202041979349303114_public.xml","CATERING","102877",NA,"56 E 141st Street","NEW YORK","NY","10017","Food Trends Catering",NA
"202041979349303114","131624098","MUSEUM OF THE CITY OF NEW YORK","2018","990","https://s3.amazonaws.com/irs-form-990/202041979349303114_public.xml","Consulting","100000",NA,"1300 Pennsylvania Avenue","WASHINGTON DC","DC","20004","Arts Manager LLC",NA
"201241799349300014","430654866","MISSOURI HISTORICAL SOCIETY","2011","990","https://s3.amazonaws.com/irs-form-990/201241799349300014_public.xml","EXHIBIT CASES FOR ""CIVIL WAR IN MISSOURI","291398","GLASBAU HAHN AMERICA","15 LITTLE BROOK LANE","NEWBURGH","NY","12550",NA,NA
"201241799349300014","430654866","MISSOURI HISTORICAL SOCIETY","2011","990","https://s3.amazonaws.com/irs-form-990/201241799349300014_public.xml","""AMERICA I AM"" EXHIBIT RENTAL","236824","ARTS & EXHIBITIONS INTERNATIONAL LLC","930 W 7TH AVENUE","DENVER","CO","80204",NA,NA
"201241799349300014","430654866","MISSOURI HISTORICAL SOCIETY","2011","990","https://s3.amazonaws.com/irs-form-990/201241799349300014_public.xml","""MAMMOTHS & MASTODONS"" EXHIBIT RENTAL","176009","THE FIELD MUSEUM","1400 SOUTH LAKE SHORE DRIVE","CHICAGO","IL","606052496",NA,NA
"201241799349300014","430654866","MISSOURI HISTORICAL SOCIETY","2011","990","https://s3.amazonaws.com/irs-form-990/201241799349300014_public.xml","ARTIFACT CONSERVATION","171398","NORTHEAST DOCUMENT CONSERVATION CENTER","100 BRICKSTONE SQUARE","ANDOVER","MA","018101494",NA,NA
"201241799349300014","430654866","MISSOURI HISTORICAL SOCIETY","2011","990","https://s3.amazonaws.com/irs-form-990/201241799349300014_public.xml","CONSTRUCTION CONTRACTORS","152182","JP & SON CONTRACTING INC","3843 FOLSOM AVE","ST LOUIS","MO","63110",NA,NA
"202030559349301323","742431071","NATIONAL MUSEUM OF WILDLIFE ART","2018","990","https://s3.amazonaws.com/irs-form-990/202030559349301323_public.xml","PLUMBING","252718","TRANE US INC","PO BOX 98167","CHICAGO","IL","60693",NA,NA
