"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","F9_08_REV_MISC_DESC","F9_08_REV_MISC_TOT","F9_08_REV_MISC_EXCL","F9_08_REV_MISC_BIZCODE","F9_08_REV_MISC_UBIZ","F9_08_REV_MISC_RLTD"
"202042269349302524","850232968","INDIAN PUEBLO CULTURAL CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202042269349302524_public.xml","MISC. REVENUE","7876","7876",NA,NA,NA
"202003159349302510","231371952","THE BUCKS COUNTY HISTORICAL SOCIETY INC","2019","990","https://s3.amazonaws.com/irs-form-990/202003159349302510_public.xml","GLENMEDE III PRIVATE EQUITY","-1296","-1362","523000","66",NA
"202003159349302510","231371952","THE BUCKS COUNTY HISTORICAL SOCIETY INC","2019","990","https://s3.amazonaws.com/irs-form-990/202003159349302510_public.xml","GLENMEDE VII PRIVATE EQUITY","-1810","-1945","523000","135",NA
"202003159349302510","231371952","THE BUCKS COUNTY HISTORICAL SOCIETY INC","2019","990","https://s3.amazonaws.com/irs-form-990/202003159349302510_public.xml","GLENMEDE IV PRIVATE EQUITY","-2848","-2689","523000","-159",NA
"202101049349300400","860390558","ARIZONA SCIENCE CENTER","2019","990","https://s3.amazonaws.com/irs-form-990/202101049349300400_public.xml","RETAIL STORE AND CAFE RENT","115733",NA,"900099",NA,"115733"
"202101049349300400","860390558","ARIZONA SCIENCE CENTER","2019","990","https://s3.amazonaws.com/irs-form-990/202101049349300400_public.xml","MISCELLANEOUS INCOME","10044",NA,"900099",NA,"10044"
"201632149349300118","590838924","TALLAHASSEE MUSEUM OF HISTORY AND","2014","990","https://s3.amazonaws.com/irs-form-990/201632149349300118_public.xml","BIRTHDAY PARTIES AND OTHER","29898","29898","900099",NA,NA
"201632149349300118","590838924","TALLAHASSEE MUSEUM OF HISTORY AND","2014","990","https://s3.amazonaws.com/irs-form-990/201632149349300118_public.xml","FACILITIES RENTAL","3560","3560","900099",NA,NA
"201241799349300014","430654866","MISSOURI HISTORICAL SOCIETY","2011","990","https://s3.amazonaws.com/irs-form-990/201241799349300014_public.xml","FACILITIES & CATERING","136305",NA,"611600",NA,"136305"
"201241799349300014","430654866","MISSOURI HISTORICAL SOCIETY","2011","990","https://s3.amazonaws.com/irs-form-990/201241799349300014_public.xml","MISCELLANEOUS","34240",NA,"611600",NA,"34240"
"202130539349300123","010911124","STEPHEN J PONZILLO JR MEMORIAL LIBRARY","2019","990","https://s3.amazonaws.com/irs-form-990/202130539349300123_public.xml","OTHER INCOME","8430","8430","900099",NA,NA
"202030559349301323","742431071","NATIONAL MUSEUM OF WILDLIFE ART","2018","990","https://s3.amazonaws.com/irs-form-990/202030559349301323_public.xml","ADVERTISING INCOME","40442",NA,"541800","40442",NA
"202030559349301323","742431071","NATIONAL MUSEUM OF WILDLIFE ART","2018","990","https://s3.amazonaws.com/irs-form-990/202030559349301323_public.xml","SPONSORSHIP INCOME","36033",NA,"900099",NA,"36033"
"201623169349301427","232471583","JAMES A MICHENER ART MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201623169349301427_public.xml","MISCELLANEOUS","5377","5377","900099",NA,NA
"201700459349303410","954217197","ARMAND HAMMER MUSEUM OF ART AND","2015","990","https://s3.amazonaws.com/irs-form-990/201700459349303410_public.xml","CAFE HAMMER","74843","74843","722513",NA,NA
"201700459349303410","954217197","ARMAND HAMMER MUSEUM OF ART AND","2015","990","https://s3.amazonaws.com/irs-form-990/201700459349303410_public.xml","REIMBURSEMENTS & REFUNDS","36085","36085","900099",NA,NA
"201700459349303410","954217197","ARMAND HAMMER MUSEUM OF ART AND","2015","990","https://s3.amazonaws.com/irs-form-990/201700459349303410_public.xml","CATERING COMMISSIONS","18580","18580","722320",NA,NA
"201711239349301656","850437114","GEORGIA O'KEEFFE MUSEUM","2016","990","https://s3.amazonaws.com/irs-form-990/201711239349301656_public.xml","SHARED SERVICES REIMBURSEMENT","72716","72716","900099",NA,NA
"201732029349300218","042104809","OLD STURBRIDGE INC","2016","990","https://s3.amazonaws.com/irs-form-990/201732029349300218_public.xml","TRUST MANAGEMENT FEES","35371","35371","541900",NA,NA
"201620819349300102","530204620","THE PHILLIPS COLLECTION","2014","990","https://s3.amazonaws.com/irs-form-990/201620819349300102_public.xml","MISCELLANEOUS","2438","2438","900099",NA,NA
"201843189349301629","590896343","ORLANDO SCIENCE CENTERINC","2017","990","https://s3.amazonaws.com/irs-form-990/201843189349301629_public.xml","PARKING GARAGE","318495","318495","812930",NA,NA
"201843189349301629","590896343","ORLANDO SCIENCE CENTERINC","2017","990","https://s3.amazonaws.com/irs-form-990/201843189349301629_public.xml","CONCESSIONS AND VENDING","91484","91484","722515",NA,NA
