"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SD_09_OTH_ASSET_DESC","SD_09_OTH_ASSET_BV"
"201510659349300726","273444987","THE MUSEUM OF THE BIBLE INC","2013","990","https://s3.amazonaws.com/irs-form-990/201510659349300726_public.xml","DONATED ARTIFACTS","135046320"
"201510659349300726","273444987","THE MUSEUM OF THE BIBLE INC","2013","990","https://s3.amazonaws.com/irs-form-990/201510659349300726_public.xml","PREPUBLICATION COSTS","3126329"
"201201369349306185","481242622","MUSEUM OF WORLD TREASURES INC","2011","990","https://s3.amazonaws.com/irs-form-990/201201369349306185_public.xml","COLLECTIONS","3185991"
"201201369349306185","481242622","MUSEUM OF WORLD TREASURES INC","2011","990","https://s3.amazonaws.com/irs-form-990/201201369349306185_public.xml","DIVIDEND RECEIVABLE","603"
"201201369349306185","481242622","MUSEUM OF WORLD TREASURES INC","2011","990","https://s3.amazonaws.com/irs-form-990/201201369349306185_public.xml","UTILITY DEPOSIT","360"
"201340159349300324","391033301","EAA Aviation Foundation Inc","2011","990","https://s3.amazonaws.com/irs-form-990/201340159349300324_public.xml","MUSEUM DISPLAYS AND LIBRARY","7803183"
"201340159349300324","391033301","EAA Aviation Foundation Inc","2011","990","https://s3.amazonaws.com/irs-form-990/201340159349300324_public.xml","CASH SURR. VALUE - LIFE INS.","353535"
"201340159349300324","391033301","EAA Aviation Foundation Inc","2011","990","https://s3.amazonaws.com/irs-form-990/201340159349300324_public.xml","INTEREST RECEIVABLE","13461"
"201441359349306204","411377193","POLISH CULTURAL INSTITUTE","2013","990","https://s3.amazonaws.com/irs-form-990/201441359349306204_public.xml","POLISH MEMORIBILIA","100000"
"201821989349301067","953315550","FIDM MUSEUM & LIBRARY FOUNDATION INC","2016","990","https://s3.amazonaws.com/irs-form-990/201821989349301067_public.xml","MUSEUM GARMENT COLLECTION","4206402"
"201821989349301067","953315550","FIDM MUSEUM & LIBRARY FOUNDATION INC","2016","990","https://s3.amazonaws.com/irs-form-990/201821989349301067_public.xml","MUSEUM RARE BOOK COLLECTION","296011"
"201821989349301067","953315550","FIDM MUSEUM & LIBRARY FOUNDATION INC","2016","990","https://s3.amazonaws.com/irs-form-990/201821989349301067_public.xml","PERFUME COLLECTION","166439"
"201821989349301067","953315550","FIDM MUSEUM & LIBRARY FOUNDATION INC","2016","990","https://s3.amazonaws.com/irs-form-990/201821989349301067_public.xml","COSTUME COLLECTION, PURCHASED","940858"
"201821989349301067","953315550","FIDM MUSEUM & LIBRARY FOUNDATION INC","2016","990","https://s3.amazonaws.com/irs-form-990/201821989349301067_public.xml","INVENTORY ON CONSIGNMENT","11801"
"201821989349301067","953315550","FIDM MUSEUM & LIBRARY FOUNDATION INC","2016","990","https://s3.amazonaws.com/irs-form-990/201821989349301067_public.xml","MINI CHAIR COLLECTION","8149"
"201821989349301067","953315550","FIDM MUSEUM & LIBRARY FOUNDATION INC","2016","990","https://s3.amazonaws.com/irs-form-990/201821989349301067_public.xml","SALES TAX DEPOSIT","2000"
"201821989349301067","953315550","FIDM MUSEUM & LIBRARY FOUNDATION INC","2016","990","https://s3.amazonaws.com/irs-form-990/201821989349301067_public.xml","DUE FROM VENDOR","903"
"201712269349302126","592657399","MUSEUM OF SCIENCE & INDUSTRY INC","2015","990","https://s3.amazonaws.com/irs-form-990/201712269349302126_public.xml","LIMITED USE ASSETS","553891"
"202130279349300448","591709542","MUSEUM OF DISCOVERY AND SCIENCE INC","2019","990","https://s3.amazonaws.com/irs-form-990/202130279349300448_public.xml","BENEFICIAL INT IN COMMUNITY FNDN","3312754"
"202130279349300448","591709542","MUSEUM OF DISCOVERY AND SCIENCE INC","2019","990","https://s3.amazonaws.com/irs-form-990/202130279349300448_public.xml","DEPOSITS","204284"
