"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SF_01_FRGN_REG_REGION","SF_01_FRGN_REG_NUM_OFFICE","SF_01_FRGN_REG_NUM_EMPL","SF_01_FRGN_REG_ACT","SF_01_FRGN_REG_TOT_EXP","SF_01_FRGN_REG_SVC_SPECIFIC"
"202023179349306507","510070531","Eleutherian Mills-Hagley Foundation Inc","2019","990","https://s3.amazonaws.com/irs-form-990/202023179349306507_public.xml","Central America and the Caribbean - Antigua & Barbuda, Aruba, Bahamas,","0","0","Investment","1087116",NA
"202023179349306507","510070531","Eleutherian Mills-Hagley Foundation Inc","2019","990","https://s3.amazonaws.com/irs-form-990/202023179349306507_public.xml","Europe (Including Iceland & Greenland) - Albania, Andorra, Austria, Belgium","0","0","Investment","9205390",NA
"201510359349300526","592015192","SALVADOR DALI MUSEUM INC","2013","990","https://s3.amazonaws.com/irs-form-990/201510359349300526_public.xml","SOUTH AMERICA","0","0","PROGRAM SERVICE",NA,"EXHIBITION LOAN"
"201721569349301107","611581548","Clyfford Still Museum Foundation","2016","990","https://s3.amazonaws.com/irs-form-990/201721569349301107_public.xml","Cayman Islands","0","0","Passive Investment","21714168",NA
"201721569349301107","611581548","Clyfford Still Museum Foundation","2016","990","https://s3.amazonaws.com/irs-form-990/201721569349301107_public.xml","British Virgin Islands","0","0","Passive investment","5616271",NA
"202003119349301405","231370501","THE FRANKLIN INSTITUTE","2019","990","https://s3.amazonaws.com/irs-form-990/202003119349301405_public.xml","EUROPE (INCLUDING ICELAND & GREENLAND)","0","0","TRAVEL TO AND FROM REGION","18574",NA
"202003119349301405","231370501","THE FRANKLIN INSTITUTE","2019","990","https://s3.amazonaws.com/irs-form-990/202003119349301405_public.xml","NORTH AMERICA","0","0","TRAVEL TO AND FROM REGION","1896",NA
"202043189349302839","362167011","FIELD MUSEUM OF NATURAL HISTORY","2019","990","https://s3.amazonaws.com/irs-form-990/202043189349302839_public.xml","EAST ASIA & THE PACIFIC",NA,NA,"PROGRAM SERVICES","50361","SCIENCE AND EDUCATION"
"202043189349302839","362167011","FIELD MUSEUM OF NATURAL HISTORY","2019","990","https://s3.amazonaws.com/irs-form-990/202043189349302839_public.xml","CENTRAL AMERICA & THE CARIBBEAN",NA,NA,"PROGRAM SERVICES","6585","SCIENCE AND EDUCATION"
"202043189349302839","362167011","FIELD MUSEUM OF NATURAL HISTORY","2019","990","https://s3.amazonaws.com/irs-form-990/202043189349302839_public.xml","EUROPE (ICELAND & GREENLAND)",NA,NA,"PROGRAM SERVICES","145861","SCIENCE AND EDUCATION"
"202043189349302839","362167011","FIELD MUSEUM OF NATURAL HISTORY","2019","990","https://s3.amazonaws.com/irs-form-990/202043189349302839_public.xml","NORTH AMERICA",NA,NA,"PROGRAM SERVICES","108300","SCIENCE AND EDUCATION"
"202043189349302839","362167011","FIELD MUSEUM OF NATURAL HISTORY","2019","990","https://s3.amazonaws.com/irs-form-990/202043189349302839_public.xml","SOUTH AMERICA",NA,NA,"PROGRAM SERVICES","353934","SCIENCE AND EDUCATION"
