"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SG_01_FUNDRAISER_NAME_INDIV","SG_01_FUNDRAISER_ACT","SG_01_FUNDRAISER_CTRL_FUND_X","SG_01_FUNDRAISER_ACT_GRORCPT","SG_01_FUNDRAISER_AMT_PAID","SG_01_FUNDRAISER_AMT_ORG","SG_01_FUNDRAISER_ADDR_L1","SG_01_FUNDRAISER_ADDR_CITY","SG_01_FUNDRAISER_ADDR_STATE","SG_01_FUNDRAISER_ADDR_ZIP","SG_01_FUNDRAISER_NAME_ORG_L1","SG_01_FUNDRAISER_ADDR_L2"
"202033239349301503","540505959","Thomas Jefferson Foundation Inc","2019","990","https://s3.amazonaws.com/irs-form-990/202033239349301503_public.xml","COURTENAY LYONS","SEE PART IV","false","609415","64800","544615","PO Box 316","Charlottesville","VA","22902",NA,NA
"201923179349306652","510520671","LANCASTER SCIENCE CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/201923179349306652_public.xml","LINDSLEY DEVELOPMENT CONSULTING","PLAN & CON","false","552358","35925","516433","89 LEAMAN ROAD","LANCASTER","PA","17603",NA,NA
"201841319349302924","060653148","Stamford Museum & Nature Center Inc","2016","990","https://s3.amazonaws.com/irs-form-990/201841319349302924_public.xml",NA,"capital CAMPAIGN CONSULTING","0","0","72000","-72000","1851 n scott 460","arlington","VA","22209","cko consulting",NA
"201802689349300540","581877044","NATIONAL MUSEUM OF THE MIGHTY EIGHTH AIR FORCE","2017","990","https://s3.amazonaws.com/irs-form-990/201802689349300540_public.xml",NA,"FUNDRAISING","false","33725","64071","-30346",NA,NA,NA,NA,"MILITARY NONPROFIT CONSULTANTS",NA
"201942829349300624","430654866","MISSOURI HISTORICAL SOCIETY","2018","990","https://s3.amazonaws.com/irs-form-990/201942829349300624_public.xml",NA,"COMMENCEMENT","0","0","45266","-45266","500 N MICHIGAN AVENUE SUITE 600","CHICAGO","IL","60611","CYGNUS APPLIED RESEARCH",NA
"201942829349300624","430654866","MISSOURI HISTORICAL SOCIETY","2018","990","https://s3.amazonaws.com/irs-form-990/201942829349300624_public.xml",NA,"FUNDRAISING INITIATIVES","0","0","52428","-52428","4501 ELI DRIVE UNIT I","ST LOUIS","MO","63128","KENNETH NICKLESS",NA
"201443119349302069","521238810","THE NATIONAL MUSEUM OF WOMEN IN THE ARTS INC","2013","990","https://s3.amazonaws.com/irs-form-990/201443119349302069_public.xml",NA,"TELEMARKETING ACTIVITIES","0","105546","52388","53158","6715 SUNSET BLVD","LOS ANGELS","CA","90028","DONOR SERVICES GROUP LLC",NA
"201443119349302069","521238810","THE NATIONAL MUSEUM OF WOMEN IN THE ARTS INC","2013","990","https://s3.amazonaws.com/irs-form-990/201443119349302069_public.xml",NA,"TELEMARKETING ACTIVITIES","0","9404","2543","6861","5757 WEST CENTURY BLVD SUITE 300","LOS ANGELS","CA","90045","SD & A",NA
"202033399349300113","521238810","THE NATIONAL MUSEUM OF WOMEN IN THE ARTS","2019","990","https://s3.amazonaws.com/irs-form-990/202033399349300113_public.xml",NA,"MEMBERSHIP ADVISOR","0","0","0","561965","3724 JEFFERSON ST SUITE 302","AUSTIN","TX","78731","DANILLER COMPANY",NA
"202033399349300113","521238810","THE NATIONAL MUSEUM OF WOMEN IN THE ARTS","2019","990","https://s3.amazonaws.com/irs-form-990/202033399349300113_public.xml",NA,"FUNDRAISING CONSULTANT","0","0","0","315614","PO BOX 824885","PHILADELPHIA","PA","19182","COMMUNITY COUNSELLING SERVICES CO LLC",NA
"202033399349300113","521238810","THE NATIONAL MUSEUM OF WOMEN IN THE ARTS","2019","990","https://s3.amazonaws.com/irs-form-990/202033399349300113_public.xml",NA,"DEVELOPMENT CONSULTANT","0","0","0","200000","7819 MARQUETTE ST","DALLAS","TX","75225","LUCY BUCHANON",NA
"202033399349300113","521238810","THE NATIONAL MUSEUM OF WOMEN IN THE ARTS","2019","990","https://s3.amazonaws.com/irs-form-990/202033399349300113_public.xml",NA,"PLANNED GIVING CONSULTANT","0","0","0","85000","11150 BIG CANOE","BIG CANOE","GA","30143","KENNETH DUTTER",NA
"201820459349301097","131624086","METROPOLITAN MUSEUM OF ART","2016","990","https://s3.amazonaws.com/irs-form-990/201820459349301097_public.xml","DONOR SERVICES GROUP","TELE- MARKETING","false","380262","190159","190103","1200 Wilshire Boulevard","Los Angeles","CA","90017",NA,"Suite 650"
"201333199349304268","260579140","BRONX CHILDRENS MUSEUM","2012","990","https://s3.amazonaws.com/irs-form-990/201333199349304268_public.xml",NA,"CAPITAL CAMPAIGN CONSULTING","0","800000","38500","761500","32 BROADWAY SUITE 301","NEW YORK","NY","10004","JC GEEVER INC",NA
"201333199349304268","260579140","BRONX CHILDRENS MUSEUM","2012","990","https://s3.amazonaws.com/irs-form-990/201333199349304268_public.xml","DIANA CORREA-CINTRON","GRANT WRITER","0","70740","49575","21165","792 COLUMBUS AVE APT 10-O","NEW YORK","NY","10025","JC GEEVER INC",NA
