"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SK_04_BOND_ISSUE_REFERENCE_NUM","SK_04_BOND_ARB_FORM_8038_FILED_X","SK_04_BOND_ARB_REBATE_NOT_DUE_X","SK_04_BOND_ARB_REBATE_EXCEPT_X","SK_04_BOND_ARB_NO_REBATE_DUE_X","SK_04_BOND_ARB_VAR_RATE_ISSUE_X","SK_04_BOND_ARB_HEDGE_IDENTIFY_X","SK_04_BOND_ARB_GIC_INVESTED_X","SK_04_BOND_ARB_PROCEED_INVEST_X","SK_04_BOND_ARB_WRITTEN_PROC_X","SK_04_BOND_ARB_HEDGE_TERM","SK_04_BOND_ARB_HEDGE_INTEGRATE_X","SK_04_BOND_ARB_HEDGE_TERMINATE_X","SK_04_BOND_ARB_HEDGE_NAME_L1","SK_04_BOND_ARB_GIC_TERM","SK_04_BOND_ARB_GIC_SAFE_HARBOR_X","SK_04_BOND_ARB_HEDGE_NAME_L1.1"
"201832009349300543","421415581","SALISBURY HOUSE FOUNDATION","2017","990","https://s3.amazonaws.com/irs-form-990/201832009349300543_public.xml","A","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA
"201102069349300685","750755335","FORT WORTH MUSEUM OF SCIENCE AND HISTORY","2009","990","https://s3.amazonaws.com/irs-form-990/201102069349300685_public.xml",NA,"0",NA,"0",NA,"1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA
"202022279349301432","530206027","Smithsonian Institution","2018","990","https://s3.amazonaws.com/irs-form-990/202022279349301432_public.xml","A","false","false","true","false","true","false","false","false","true",NA,NA,NA,NA,NA,NA,NA
"202022279349301432","530206027","Smithsonian Institution","2018","990","https://s3.amazonaws.com/irs-form-990/202022279349301432_public.xml","B","false","false","true","false","false","false","false","false","true",NA,NA,NA,NA,NA,NA,NA
"201621379349302262","131624100","MUSEUM OF MODERN ART","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349302262_public.xml","A","0","0","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,NA,NA
"201621379349302262","131624100","MUSEUM OF MODERN ART","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349302262_public.xml","B","0","0","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,NA,NA
"201621379349302262","131624100","MUSEUM OF MODERN ART","2014","990","https://s3.amazonaws.com/irs-form-990/201621379349302262_public.xml","C","0","0","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,NA,NA
"201541329349303564","133475390","LOWER EAST SIDE TENEMENT MUSEUM","2013","990","https://s3.amazonaws.com/irs-form-990/201541329349303564_public.xml","A","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA
"202120919349300917","941696494","THE EXPLORATORIUM","2019","990","https://s3.amazonaws.com/irs-form-990/202120919349300917_public.xml","A","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA
"201723499349300507","760217152","MANNED SPACE FLIGHT EDUCATION","2016","990","https://s3.amazonaws.com/irs-form-990/201723499349300507_public.xml","A","1",NA,NA,NA,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA
"201623199349309352","160954168","MARGARET WOODBURY STRONG MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201623199349309352_public.xml","A","0","0","0","0","1","1","0","0","0","20.000000000000","1","0","JPMORGAN",NA,NA,NA
"202130769349300818","846038240","Denver Art Museum","2019","990","https://s3.amazonaws.com/irs-form-990/202130769349300818_public.xml","A","0","0","0","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA
"201630989349300648","042104327","THE INSTITUTE OF CONTEMPORARY ART INC","2014","990","https://s3.amazonaws.com/irs-form-990/201630989349300648_public.xml","A","0","0","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,NA,NA
"201210879349300811","221514241","THE MORRIS MUSEUM INC","2010","990","https://s3.amazonaws.com/irs-form-990/201210879349300811_public.xml",NA,"0",NA,"0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA
