"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SN_02_DOA_ASSET_DIST_DESC","SN_02_DOA_ASSET_DIST_DATE","SN_02_DOA_ASSET_DIST_FMV","SN_02_DOA_ASSET_DIST_FMV_METHOD","SN_02_DOA_RECIP_EIN","SN_02_DOA_RECIP_IRC_SECTION","SN_02_DOA_RECIP_NAME_ORG_L1","SN_02_DOA_RECIP_NAME_ORG_L2","SN_02_DOA_RECIP_ADDR_L1","SN_02_DOA_RECIP_ADDR_CITY.","SN_02_DOA_RECIP_ADDR_STATE","SN_02_DOA_RECIP_ADDR_ZIP","SN_02_DOA_RECIP_NAME_PERS"
"201833199349300048","232019739","HUGH MOORE HISTORICAL PARK","2017","990","https://s3.amazonaws.com/irs-form-990/201833199349300048_public.xml","NET CUR. ASSET/LIAB","2017-04-01","4295","FMV","232977618","501 (C) 3","DELAWARE & LEHIGH NATIONAL","HERITAGE CORRIDOR INC","2750 HUGH MOORE PARK ROAD","EASTON","PA","18042",NA
"201833199349300048","232019739","HUGH MOORE HISTORICAL PARK","2017","990","https://s3.amazonaws.com/irs-form-990/201833199349300048_public.xml","MUTUAL FUND INVESTMENT","2017-04-01","33085","FMV","232977618","501 (C) 3","DELAWARE & LEHIGH NATIONAL","HERITAGE COORIDOR INC","2750 HUGH MOORE PARK ROAD","EASTON","PA","18042",NA
"201833199349300048","232019739","HUGH MOORE HISTORICAL PARK","2017","990","https://s3.amazonaws.com/irs-form-990/201833199349300048_public.xml","INVENTORIES","2017-04-01","70657","COST","232977618","501 (C) 3","DELAWARE & LEHIGH NATIONAL","HERITAGE COORIDOR INC","2750 HUGH MOORE PARK ROAD","EASTON","PA","18042",NA
"201833199349300048","232019739","HUGH MOORE HISTORICAL PARK","2017","990","https://s3.amazonaws.com/irs-form-990/201833199349300048_public.xml","CASH & CASH EQUIVALENT","2017-04-01","260417","CASH","232977618","501 (C) 3","DELAWARE & LEHIGH NATIONAL","HERITAGE CORRIDOR INC","2750 HUGH MOORE PARK ROAD","EASTON","PA","18042",NA
"201833199349300048","232019739","HUGH MOORE HISTORICAL PARK","2017","990","https://s3.amazonaws.com/irs-form-990/201833199349300048_public.xml","FIXED ASSETS, NET","2017-04-01","2742781","COST","232977618","501 (C) 3","DELEWARE & LEHIGH NATIONAL","HERITAGE CORRIDOR INC","2750 HUGH MOORE PARK ROAD","EASTON","PA","18042",NA
"201623169349301407","411354181","Minnesota Children's Museum","2015","990","https://s3.amazonaws.com/irs-form-990/201623169349301407_public.xml","LAND, BUILDING AND RELATED CAPITAL CAMPAIGN ASSETS - See Sch. O description","2015-12-11","29348221","Net Book value","475564727","501(c)(3)","MCM Holdings",NA,"10 West Seventh Street","St Paul","MN","55102",NA
"201131189349200308","510143384","FORT DOUGLAS MILITARY MUSEUM ASSOC","2010","990EZ","https://s3.amazonaws.com/irs-form-990/201131189349200308_public.xml","EXHIBITS","2010-08-24","1340684","COST","876000525","501C3",NA,NA,"201 PRESIDENTS CIRCLE ROOM 201","SALT LAKE CITY","UT","84112","THE UNIVERSITY OF UTAH"
"201603209349311765","431746820","IRISH MUSEUM AND CULTURAL CENTER","2015","990","https://s3.amazonaws.com/irs-form-990/201603209349311765_public.xml","LEASEHOLD IMPROVEMENTS - ORGANIZATION MOVED TO A NEW LOCATION","2015-10-11","245804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201213559349300311","300166095","VIRGINIA LIVING MUSEUM COMMUNITY EDUCATION FUND","2011","990","https://s3.amazonaws.com/irs-form-990/201213559349300311_public.xml","TRANSFER OF $2,723 CASH","2011-07-01","2723","CASH VALUE","546055922","501(C)(3)","VIRGINIA LIVING MUSUEM INC",NA,"524 J CLYDE MORRIS BLVD","NEWPORT NEWS","VA","23601",NA
"201543179349300014","752293175","THE HUBBARD MUSEUM","2014","990","https://s3.amazonaws.com/irs-form-990/201543179349300014_public.xml","CASH AND FIXED ASSETS","2014-12-31","8075067","MARKET","680632648","501 C 3","HUBBARD MUSEUM OF AMERICAN WEST FOU","FOUNDATION","PO BOX 449","RUIDOSO DOWNS","NM","88346",NA
